Чи обрали б ви КПІ знову?,Чи працюєте ви за спеціальністю?,Чи працювали ви під час навчання?,Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ","Факультет КПІ, на якому ви навчалися","Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?","Чи подобається вам галузь, в якій ви працюєте?",faculty_id,Який найвищий рівень освіти ви б порадили собі отримати?,"Кафедра, на якій ви навчалися"
"Навчатися там, де я навчався",Так,Ні,2011,Кандидатський чи докторський ступінь,23,Ні,Ні,23,Кандидатський чи докторський ступінь,СКС
"Навчатися там, де я навчався",Так,Ні,2011,Кандидатський чи докторський ступінь,23,Ні,Ні,23,Кандидатський чи докторський ступінь,СКС
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,ОТ/ІО-01
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2008,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Магістр або спеціаліст,"ММСА, КА-21"
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,13,Ні,Так,13,Бакалавр,"АПЕПС, ТР-41с"
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2004,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КВ-22
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2013,"Вчився в КПІ, але не закінчив навчання",3,Ні,Так,3,Магістр або спеціаліст,тс-72
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2012,Магістр або спеціаліст,7,Ні,Так,7,Кандидатський чи докторський ступінь,ФИ-61
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2012,Магістр або спеціаліст,7,Ні,Так,7,Кандидатський чи докторський ступінь,ФИ-61
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Магістр або спеціаліст,"ФБМЕ, ДМ-71"
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Магістр або спеціаліст,23,Моєю перевагою була наявність диплому,Так,23,Кандидатський чи докторський ступінь,"Прикладна математика, КМ-71м"
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,Прикладна Математика
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",1999,Магістр або спеціаліст,19,"Інша ситуація, наявність диплому була важливою",Так,19,Магістр або спеціаліст,ИР-32
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2006,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Магістр або спеціаліст,КА-17
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2015,Магістр або спеціаліст,22,Ні,Так,22,Магістр або спеціаліст,Дз
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2012,Кандидатський чи докторський ступінь,11,"Інша ситуація, наявність диплому була важливою",Так,11,Магістр або спеціаліст,ПМ-61
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2008,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КВ-23
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2007,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КМ-13
"Навчатися там, де я навчався","Ні, працюю в іншій галузі",Ні,2013,"Вчився в КПІ, але не закінчив навчання",18,"Не надіслав резюме через те, що не мав диплому",Ні,18,Магістр або спеціаліст,KEOA
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2014,Бакалавр,7,"Інша ситуація, наявність диплому була важливою",Ні,7,Бакалавр,"Прикладна фізика, ФФ-01"
Навчатися в іншому ВНЗ,Так,"Так, не за спеціальністю",2009,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Кандидатський чи докторський ступінь,ДМ-33
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2010,Магістр або спеціаліст,19,"Інша ситуація, наявність диплому була важливою",Так,19,Магістр або спеціаліст,ТК
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2007,Магістр або спеціаліст,18,Ні,Ні,18,Магістр або спеціаліст,Кафедра фізичної та біомедичної електроніки
Не навчатися в ВНЗ,"Ні, але працюю в тій самій галузі",Ні,2012,Магістр або спеціаліст,18,"Інша ситуація, наявність диплому була важливою",Так,18,Магістр або спеціаліст,Зтрі
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, за спеціальністю",2010,Магістр або спеціаліст,3,Ні,Так,3,Магістр або спеціаліст,ТЗ
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Бакалавр,19,Ні,Ні,19,Магістр або спеціаліст,ЗІА 91
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2011,"Вчився в КПІ, але не закінчив навчання",18,Ні,Так,18,Магістр або спеціаліст,ЗТРІ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Ні,18,Магістр або спеціаліст,ДЕ-41с
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,А та АЕ
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі",Ні,None,"Вчився в КПІ, але не закінчив навчання",18,Ні,Так,18,Не закінчував би КПІ,де
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2012,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДМм-63
"Навчатися в КПІ, але за іншим напрямом",Так,Ні,2014,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,ПМА
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2009,Магістр або спеціаліст,16,Ні,Так,16,Бакалавр,Промислова біотехнологія
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",2005,Магістр або спеціаліст,7,Ні,Так,7,Бакалавр,ФІ-91
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, за спеціальністю",2008,Магістр або спеціаліст,19,"Інша ситуація, наявність диплому була важливою",Так,19,Магістр або спеціаліст,ИК-22
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,3,"Інша ситуація, наявність диплому була важливою",Так,3,Магістр або спеціаліст,телекомунікацій
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2004,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,АСОІУ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,23,Ні,Так,23,Бакалавр,Прикладна математика/КМ-81
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,18,Ні,Так,18,Бакалавр,Eлектронні Системи
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2011,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Магістр або спеціаліст,ЕПП/ДЕ-51
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ІБ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,11,Ні,Так,11,Магістр або спеціаліст,ПН
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,11,Ні,Так,11,Магістр або спеціаліст,ПН
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2006,Магістр або спеціаліст,18,"Інша ситуація, наявність диплому була важливою",Так,18,Магістр або спеціаліст,Конструювання та виробництва електрообчислювальних зас.(ДК)
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",2005,Магістр або спеціаліст,7,Ні,Так,7,Бакалавр,ФІ-91
"Навчатися в КПІ, але за іншим напрямом",Не працюю,Ні,2015,"Вчився в КПІ, але не закінчив навчання",2,Ні,Ні,2,Кандидатський чи докторський ступінь,КА-33
"Навчатися там, де я навчався",Так,Ні,2008,Бакалавр,23,Ні,Так,23,Бакалавр,СКС
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,ПЗКС
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,8,Ні,Ні,8,Магістр або спеціаліст,ІП
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,18,Ні,Так,18,Бакалавр,акустики 
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2010,Бакалавр,23,"Інша ситуація, наявність диплому була важливою",Так,23,Бакалавр,КМ-62
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, за спеціальністю",2003,"Вчився в КПІ, але не закінчив навчання",18,Ні,Так,18,Не закінчував би КПІ,
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2013,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ЗТиРИ
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, за спеціальністю",1998,Магістр або спеціаліст,23,Ні,Так,23,Не закінчував би КПІ,км
"Навчатися там, де я навчався",Так,Ні,2008,Кандидатський чи докторський ступінь,12,Ні,Так,12,Кандидатський чи докторський ступінь,РТПС
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2005,Магістр або спеціаліст,3,"Інша ситуація, наявність диплому була важливою",Так,3,Магістр або спеціаліст,ВТ91
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2011,Магістр або спеціаліст,7,Моєю перевагою була наявність диплому,Так,7,Кандидатський чи докторський ступінь,ФБ-51
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Бакалавр,7,Ні,Так,7,Магістр або спеціаліст,ФБ-01
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2010,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,ПМА
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2006,Магістр або спеціаліст,4,"Інша ситуація, наявність диплому була важливою",Так,4,Магістр або спеціаліст,зр-01
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі",Ні,2008,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДК-21
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, за спеціальністю",2012,Магістр або спеціаліст,12,Ні,Так,12,Магістр або спеціаліст,ТОР
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,СП
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2015,Магістр або спеціаліст,5,Ні,Так,5,Магістр або спеціаліст,ОЕ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Бакалавр,19,Ні,Так,19,Бакалавр,"ОТ,IО-12"
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2006,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДЗ-12
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2008,Магістр або спеціаліст,23,Моєю перевагою була наявність диплому,Так,23,Магістр або спеціаліст,КМ-23
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2012,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КМ-61
Навчатися в іншому ВНЗ,Не працюю,"Так, не за спеціальністю",2016,Магістр або спеціаліст,7,Ні,Ні,7,Магістр або спеціаліст,ІБ
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,"Вчився в КПІ, але не закінчив навчання",2,Ні,Так,2,Не закінчував би КПІ,MMSA
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2010,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Кандидатський чи докторський ступінь,дс
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2004,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ФіБМЕ
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2009,Магістр або спеціаліст,13,Ні,Так,13,Магістр або спеціаліст,ТО-31
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2003,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Магістр або спеціаліст,акустики
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДЗ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДЗ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Бакалавр,5,Ні,Так,5,Магістр або спеціаліст,ОМ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",None,Магістр або спеціаліст,17,Ні,Так,17,Кандидатський чи докторський ступінь,
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2011,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,ФЕ-51
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2014,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Ні,18,Магістр або спеціаліст,ФБМЕ
"Навчатися там, де я навчався",Так,Ні,1972,Магістр або спеціаліст,5,Моєю перевагою була наявність диплому,Так,5,Магістр або спеціаліст,АГ-21
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,13,"Інша ситуація, наявність диплому була важливою",Так,13,Кандидатський чи докторський ступінь,АПЕПС
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,2,Ні,Так,2,Кандидатський чи докторський ступінь,ка31
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2008,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,Скм
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2005,Магістр або спеціаліст,7,Ні,Так,7,Кандидатський чи докторський ступінь,ФІ-91 / ФІ-81
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,5,Ні,Так,5,Магістр або спеціаліст,Ауек
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,2,Ні,Так,2,Кандидатський чи докторський ступінь,ДА-32м
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2010,Магістр або спеціаліст,18,"Інша ситуація, наявність диплому була важливою",Так,18,Магістр або спеціаліст,звукотехнікі та реєстраціі інформації
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,5,Ні,Так,5,Магістр або спеціаліст,Ауек
"Навчатися там, де я навчався","Ні, працюю в іншій галузі",Ні,2013,Магістр або спеціаліст,19,"Не надіслав резюме через те, що не мав диплому",Так,19,Бакалавр,АСОІУ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2005,Магістр або спеціаліст,21,Ні,Так,21,Магістр або спеціаліст,Экономика и предпринимательство (УЕ)
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, не за спеціальністю",2011,Магістр або спеціаліст,23,Моєю перевагою була наявність диплому,Так,23,Магістр або спеціаліст,пма
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Бакалавр,21,Ні,Так,21,Бакалавр,Промисловий маркетинг
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2007,Магістр або спеціаліст,7,Моєю перевагою була наявність диплому,Так,7,Магістр або спеціаліст,ФЕ-71
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2008,Магістр або спеціаліст,21,Ні,Так,21,Бакалавр,ММЕС
"Навчатися в КПІ, але за іншим напрямом",Так,Ні,2001,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,ПМА
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, не за спеціальністю",2013,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,ФФ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2012,Кандидатський чи докторський ступінь,18,Моєю перевагою була наявність диплому,Так,18,Кандидатський чи докторський ступінь,ДК-62
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2015,Магістр або спеціаліст,18,Ні,Ні,18,Магістр або спеціаліст,ДС-31с
Навчатися в іншому ВНЗ,Не працюю,"Так, за спеціальністю",2008,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,"ММСА, КА-21"
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2005,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ФИ-92
Не навчатися в ВНЗ,Не працюю,Ні,2016,"Вчився в КПІ, але не закінчив навчання",18,Ні,Ні,18,Не закінчував би КПІ,ДВ-11
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2008,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КВ23
Навчатися в іншому ВНЗ,Не працюю,Ні,2016,Бакалавр,12,Ні,Так,12,Не закінчував би КПІ,РБ-21
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Бакалавр,19,Ні,Так,19,Бакалавр,АСОІУ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2014,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,Акустика 
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2016,Магістр або спеціаліст,7,Ні,Так,7,Кандидатський чи докторський ступінь,ФТСЗИ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2014,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,СПіСКС
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2010,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДГ-41
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,ММСА
Не навчатися в ВНЗ,Не працюю,"Так, не за спеціальністю",2015,Бакалавр,16,Ні,Так,16,Не закінчував би КПІ,БЕ-01(41с)
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,10,Ні,Так,10,Бакалавр,ЛЕ
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2003,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,ИС-82
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2010,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,АСОIУ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2006,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Кандидатський чи докторський ступінь,KA-06
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2000,Магістр або спеціаліст,9,"Інша ситуація, наявність диплому була важливою",Так,9,Магістр або спеціаліст,Термічної обробки металів
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2007,Магістр або спеціаліст,19,Моєю перевагою була наявність диплому,Так,19,Кандидатський чи докторський ступінь,Обчислювальної техніки/ІО-25
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2012,Магістр або спеціаліст,19,Ні,Так,19,Бакалавр,ІО
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2010,Магістр або спеціаліст,24,Ні,Так,24,Магістр або спеціаліст,ОМ-41
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, за спеціальністю",1996,Магістр або спеціаліст,12,Моєю перевагою була наявність диплому,Так,12,Кандидатський чи докторський ступінь,ЕРТ-11
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,Бакалавр,7,Ні,Так,7,Магістр або спеціаліст,ФЕ-91
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2015,Магістр або спеціаліст,25,Ні,Ні,25,Бакалавр,ЛК-31
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2009,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КВ-31
Не навчатися в ВНЗ,Так,Ні,2014,Магістр або спеціаліст,23,Моєю перевагою була наявність диплому,Так,23,Не закінчував би КПІ,
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, не за спеціальністю",2010,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ЗТРІ
"Навчатися там, де я навчався","Ні, працюю в іншій галузі",Ні,1989,Магістр або спеціаліст,17,Моєю перевагою була наявність диплому,Ні,17,Кандидатський чи докторський ступінь,НС-32
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2001,Магістр або спеціаліст,23,Моєю перевагою була наявність диплому,Так,23,Магістр або спеціаліст,КВ52
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2015,Магістр або спеціаліст,7,Ні,Так,7,Бакалавр,ФИ31м
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2010,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,Фб-41
"Навчатися в КПІ, але за іншим напрямом",Не працюю,"Так, не за спеціальністю",2014,Магістр або спеціаліст,17,Ні,Так,17,Магістр або спеціаліст,ЕП
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2012,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,прикладна математика
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,4,Ні,Так,4,Не закінчував би КПІ,ВСР
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Магістр або спеціаліст,14,Ні,Так,14,Магістр або спеціаліст,ВА-72
"Навчатися там, де я навчався",Так,Ні,2007,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КВ-22
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,СПіСКС
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,12,"Інша ситуація, наявність диплому була важливою",Так,12,Магістр або спеціаліст,РА-81
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2002,Магістр або спеціаліст,11,"Інша ситуація, наявність диплому була важливою",Так,11,Магістр або спеціаліст,ПСОН ПГ-61
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,СКС\КВ-83
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",1981,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ПЕА
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,18,Ні,Так,18,Бакалавр,ФіБМЕ
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2006,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ММЗІ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2010,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,FI-42
"Навчатися там, де я навчався",Так,Ні,2008,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,IO-22
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2011,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,СКС
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2013,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Магістр або спеціаліст,ЗТРІ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2013,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Магістр або спеціаліст,ЗТРІ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",1992,Магістр або спеціаліст,22,Ні,Так,22,Кандидатський чи докторський ступінь,ЗТ та РІ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",1992,Магістр або спеціаліст,22,Ні,Так,22,Кандидатський чи докторський ступінь,ЗТ та РІ
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі",Ні,2016,Магістр або спеціаліст,11,Ні,Так,11,Не закінчував би КПІ,ПО-41с
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2014,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,ПЗКС
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Бакалавр,20,Моєю перевагою була наявність диплому,Так,20,Магістр або спеціаліст,4
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2011,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ФІ-52
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Бакалавр,15,Ні,Ні,15,Магістр або спеціаліст,БМ-12
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2016,Магістр або спеціаліст,21,Моєю перевагою була наявність диплому,Так,21,Магістр або спеціаліст,менеджмент інноваційної діяльності
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2012,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Кандидатський чи докторський ступінь,ММСА
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2005,Магістр або спеціаліст,11,Ні,Так,11,Кандидатський чи докторський ступінь,ПО-91
"Навчатися там, де я навчався",Так,Ні,2011,Кандидатський чи докторський ступінь,19,Ні,Так,19,Магістр або спеціаліст,обчислювальної техніки
