Чи обрали б ви КПІ знову?,Чи працюєте ви за спеціальністю?,Чи працювали ви під час навчання?,Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ","Факультет КПІ, на якому ви навчалися","Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?","Чи подобається вам галузь, в якій ви працюєте?",faculty_id,Який найвищий рівень освіти ви б порадили собі отримати?,"Кафедра, на якій ви навчалися"
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2012,Магістр або спеціаліст,7,Ні,Так,7,Кандидатський чи докторський ступінь,ФІ-61
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, за спеціальністю",2016,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,Дг
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Бакалавр,4,Ні,Так,4,Кандидатський чи докторський ступінь,"ОВПК, СЕ-41м"
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2015,Магістр або спеціаліст,19,Ні,Так,19,Бакалавр,ІС-31м
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2016,Магістр або спеціаліст,19,Ні,Так,19,Бакалавр,ОТ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2015,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,Інофрмаційні технології проектування
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2015,Бакалавр,2,"Інша ситуація, наявність диплому була важливою",Так,2,Бакалавр,Кафедра математических методов системного анализа
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Бакалавр,2,Ні,Так,2,Кандидатський чи докторський ступінь,КА-12
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",None,Кандидатський чи докторський ступінь,23,Ні,Так,23,Кандидатський чи докторський ступінь,
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2007,Магістр або спеціаліст,12,Ні,Так,12,Бакалавр,Рт
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2007,Магістр або спеціаліст,12,Ні,Так,12,Бакалавр,Рт
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2007,Магістр або спеціаліст,12,Ні,Так,12,Бакалавр,Рт
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2007,Магістр або спеціаліст,12,Ні,Так,12,Бакалавр,Рт
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2008,Магістр або спеціаліст,18,Моєю перевагою була наявність диплому,Так,18,Магістр або спеціаліст,Phbme/DM-12
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі",Ні,2015,Магістр або спеціаліст,15,Ні,Ні,15,Магістр або спеціаліст, Ім
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2007,Магістр або спеціаліст,6,"Не надіслав резюме через те, що не мав диплому",Так,6,Магістр або спеціаліст,Ма11
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі",Ні,2012,"Вчився в КПІ, але не закінчив навчання",2,Ні,Так,2,Не закінчував би КПІ,ММСА
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2007,Магістр або спеціаліст,6,"Не надіслав резюме через те, що не мав диплому",Так,6,Магістр або спеціаліст,Ма11
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2015,Магістр або спеціаліст,14,"Інша ситуація, наявність диплому була важливою",Так,14,Магістр або спеціаліст,ВВ-31м
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,11,"Інша ситуація, наявність диплому була важливою",Так,11,Магістр або спеціаліст,ПБ-32
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,Системний аналіз
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,12,Моєю перевагою була наявність диплому,Так,12,Магістр або спеціаліст,КіВРА
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2015,Магістр або спеціаліст,12,Ні,Так,12,Магістр або спеціаліст,КіВРА
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2013,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Магістр або спеціаліст,ммса
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,2,Ні,Так,2,Бакалавр,ДА
Не навчатися в ВНЗ,"Ні, працюю в іншій галузі",Ні,2014,Бакалавр,12,Ні,Так,12,Бакалавр,КіВРА
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Бакалавр,7,Моєю перевагою була наявність диплому,Так,7,Бакалавр,ММЗІ ФІ-03/ФІ-13 
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,ФБ-81
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2009,Магістр або спеціаліст,19,"Інша ситуація, наявність диплому була важливою",Так,19,Магістр або спеціаліст,
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2016,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,дп-41с
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2016,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,дп-41с
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,15,Моєю перевагою була наявність диплому,Так,15,Кандидатський чи докторський ступінь,БМК
"Навчатися в КПІ, але за іншим напрямом",Не працюю,"Так, не за спеціальністю",None,"Вчився в КПІ, але не закінчив навчання",3,Ні,Ні,3,Магістр або спеціаліст,
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,3,Ні,Так,3,Магістр або спеціаліст,ТІ-02
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,17,"Інша ситуація, наявність диплому була важливою",Так,17,Магістр або спеціаліст,ек-91
Навчатися в іншому ВНЗ,"Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,11,Ні,Так,11,Магістр або спеціаліст,наепс
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2014,Магістр або спеціаліст,6,Моєю перевагою була наявність диплому,Так,6,Кандидатський чи докторський ступінь,КВтМ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2009,Магістр або спеціаліст,12,Ні,Так,12,Магістр або спеціаліст,РТ.РТ-32
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,23,Ні,Так,23,Кандидатський чи докторський ступінь,КВ-34
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2015,Магістр або спеціаліст,12,Ні,Так,12,Магістр або спеціаліст,РТ-31м
"Навчатися в КПІ, але за іншим напрямом",Не працюю,Ні,2015,Магістр або спеціаліст,12,Ні,Так,12,Магістр або спеціаліст,КИПРА
"Навчатися в КПІ, але за іншим напрямом",Не працюю,Ні,2015,Магістр або спеціаліст,12,Ні,Так,12,Магістр або спеціаліст,КИПРА
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,4,Ні,Так,4,Бакалавр,Репрографії
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,17,Ні,Так,17,Магістр або спеціаліст,ЕК-41с
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2005,"Вчився в КПІ, але не закінчив навчання",18,Ні,Так,18,Магістр або спеціаліст,ДМ-93
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2007,Магістр або спеціаліст,18,Ні,Так,18,Магістр або спеціаліст,ДК
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі",Ні,2015,Магістр або спеціаліст,10,"Інша ситуація, наявність диплому була важливою",Так,10,Магістр або спеціаліст,МАХНВ
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,4,"Не надіслав резюме через те, що не мав диплому",Так,4,Магістр або спеціаліст,Видавничої справи та редагування
Навчатися в іншому ВНЗ,Так,Ні,2008,Магістр або спеціаліст,2,Ні,Так,2,Бакалавр,ММСА
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, за спеціальністю",2009,Магістр або спеціаліст,11,Ні,Так,11,Бакалавр,ПСНК
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2012,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Магістр або спеціаліст,Да62
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Бакалавр,25,Ні,Так,25,Бакалавр,хк
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2006,Кандидатський чи докторський ступінь,7,Ні,Так,7,Кандидатський чи докторський ступінь,ФБ-01
Не навчатися в ВНЗ,Так,"Так, за спеціальністю",2012,Бакалавр,23,Ні,Так,23,Не закінчував би КПІ,КП-91
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,7,Ні,Так,7,Кандидатський чи докторський ступінь,фб-41
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,7,Ні,Так,7,Кандидатський чи докторський ступінь,фб-41
"Навчатися там, де я навчався",Не працюю,"Так, не за спеціальністю",2005,Магістр або спеціаліст,5,Ні,Так,5,Магістр або спеціаліст,оа
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2015,Магістр або спеціаліст,15,Моєю перевагою була наявність диплому,Так,15,Кандидатський чи докторський ступінь,БП-31с
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Бакалавр,19,Ні,Так,19,Магістр або спеціаліст,АСОІУ
"Навчатися в КПІ, але за іншим напрямом",Не працюю,"Так, не за спеціальністю",2016,Магістр або спеціаліст,18,"Не надіслав резюме через те, що не мав диплому",Так,18,Кандидатський чи докторський ступінь,Електронні прилади та присторї
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,4,Моєю перевагою була наявність диплому,Так,4,Магістр або спеціаліст,Видавничої справи та редагування
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,4,Моєю перевагою була наявність диплому,Так,4,Магістр або спеціаліст,Видавничої справи та редагування
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,24,Ні,Ні,24,Магістр або спеціаліст,кафедра диф.рів.
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2015,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ФІ-32м
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,19,Ні,Так,19,Бакалавр,ОТ
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,7,Ні,Так,7,Кандидатський чи докторський ступінь,ФЕ - 31м
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,7,Ні,Так,7,Магістр або спеціаліст,ММЗІ
Не навчатися в ВНЗ,"Ні, працюю в іншій галузі","Так, за спеціальністю",None,Магістр або спеціаліст,7,Ні,Так,7,Бакалавр,
"Навчатися там, де я навчався",Так,"Так, не за спеціальністю",2008,Магістр або спеціаліст,11,Моєю перевагою була наявність диплому,Так,11,Магістр або спеціаліст,ПСНК
"Навчатися там, де я навчався","Ні, працюю в іншій галузі","Так, не за спеціальністю",2013,Магістр або спеціаліст,9,Ні,Так,9,Магістр або спеціаліст,ФМ-71
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,ІБ/ФІ-92
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,ІБ/ФІ-92
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,7,"Інша ситуація, наявність диплому була важливою",Так,7,Магістр або спеціаліст,ІБ/ФІ-92
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, за спеціальністю",2013,Магістр або спеціаліст,18,Ні,Так,18,Бакалавр,МЕ
